from,to,cost,,,
211,210,356.1,,,0
210,262,373.4,,,0
262,306,345.1,,,300
6,83,483.2,,,-117
200,199,317.7,,,0
199,197,309.3,,,0
197,195,313.3,,,0
195,193,271.7,,,0
193,191,322.3,,,0
191,189,312.4,,,0
189,280,420.9,,,0
280,279,384.8,,,0
279,140,323.4,,,0
140,187,341.2,,,0
187,186,410,,,0
186,296,354.2,,,0
296,126,367.6,,,0
126,182,490.7,,,0
182,248,314.6,,,0
248,25,352.9,,,0
25,178,307.1,,,0
178,142,418.2,,,0
142,176,341.3,,,0
176,174,344.9,,,0
174,113,755.8,,,0
113,124,234.9,,,0
124,253,385.9,,,0
253,30,310.6,,,0
30,67,358.9,,,0
67,164,413.3,,,0
164,119,387.3,,,0
119,120,407.6,,,0
120,61,395.7,,,0
61,19,496.4,,,0
19,162,412.1,,,0
162,51,472.2,,,0
51,160,440.1,,,0
160,159,434.5,,,0
159,64,378.4,,,0
64,287,353.1,,,0
287,267,375.5,,,0
267,288,369.7,,,0
288,283,376.8,,,0
283,281,392.2,,,0
281,282,360.2,,,0
282,156,384.4,,,96
60,38,394.1,,,0
38,65,415,,,0
65,230,435.8,,,0
230,47,353,,,0
47,265,341.8,,,0
265,264,334.1,,,165
99,53,248.3,,,0
53,45,389.9,,,0
45,12,404.3,,,0
12,41,378.3,,,0
41,272,365,,,0
272,106,366.7,,,0
106,17,360.6,,,0
17,63,424.4,,,0
63,202,389.6,,,0
202,16,328.2,,,0
16,40,328.8,,,0
40,105,355.1,,,84
21,233,332,,,0
233,277,399.4,,,20
257,275,363.3,,,40
235,264,168.6,,,0
264,163,293.4,,,144
19,266,87.7,,,0
266,162,327.4,,,40
122,70,313.4,,,0
70,252,129.3,,,88
164,70,93.4,,,0
70,119,385.3,,,-3
122,1,265.2,,,0
1,252,275.9,,,0
252,46,271.5,,,-118
164,1,221,,,0
1,119,319.9,,,0
119,46,444.4,,,-133
179,128,441.7,,,0
128,33,195.8,,,-213
246,65,372.6,,,0
65,11,324.6,,,0
11,230,311,,,227
3,230,311.9,,,165
65,247,373.6,,,1
246,59,346.1,,,-172
231,11,312.5,,,8
3,231,313.4,,,0
231,247,203.2,,,0
247,59,347.1,,,12
47,35,332.5,,,0
35,265,519.6,,,0
265,115,77,,,-20
135,115,153.2,,,80
35,54,352.5,,,7
47,36,252.5,,,-80
116,265,78.2,,,130
135,116,154.4,,,0
116,54,242.2,,,0
54,36,267.1,,,-204
240,10,271.4,,,0
10,9,570.6,,,-231
240,91,82.3,,,-17
108,91,351.7,,,0
91,137,98.3,,,-71
208,104,393,,,0
104,127,76.8,,,-82
209,104,393.1,,,0
104,146,135.9,,,-61
207,251,129,,,0
251,118,336.7,,,0
118,85,195.8,,,0
85,207,376.2,,,150
57,242,313.2,,,0
242,28,23.1,,,-29
57,243,312.9,,,0
243,28,22.2,,,-81
109,276,278.1,,,0
276,292,109.6,,,149
143,133,329.8,,,0
133,269,75.3,,,172
97,68,225.3,,,0
68,57,203.6,,,-22
79,99,78,,,72
27,98,7.7,,,71
27,46,163.8,,,0
46,216,353.6,,,-1
217,98,411.7,,,0
98,31,3.2,,,-186
217,46,354,,,0
46,31,163.6,,,31
